customer_city,total_sales
maceio,43592.59
tremembe,4876.030000000001
guanambi,4189.81
nazare paulista,815.64
paracatu,8376.419999999998
almenara,2872.15
uruana,1142.29
general carneiro,401.48
sao sebastiao,9833.44
petrolandia,2110.34
curitibanos,2878.94
santa cruz,786.6399999999999
jaguariuna,8312.47
cosmopolis,6668.9
neropolis,1297.2199999999998
mauriti,14.9
mossoro,4635.469999999999
avare,8382.97
jaragua do sul,12924.66
luziania,4761.46
jacaraci,911.79
mozarlandia,806.4
sao fidelis,2029.2500000000002
figueira,928.78
salto da divisa,116.98
paulista,6212.369999999999
poa,9343.45
embu das artes,19998.78
coroata,873.4799999999999
presidente kubitschek,115.42999999999999
paulo afonso,6492.589999999999
jundiai,80398.04
itatiba,12049.310000000001
sao jose dos pinhais,14899.05
claudio,2867.0699999999997
garibaldi,1014.8
natividade,2995.27
cascavel,24311.48
vargem grande paulista,4634.55
parauapebas,4092.060000000001
capitolio,386.89
jari,354.8
alto jequitiba,211.89
congonhas,2938.6100000000006
pocos de caldas,15620.680000000004
sabara,4481.780000000001
itaocara,1720.65
cambuci,2042.7900000000002
pains,298.33
campo magro,39.8
atilio vivacqua,89.9
duque de caxias,32769.229999999996
uruguaiana,4414.06
carandai,1143.4999999999998
ubirata,582.1800000000001
santo antonio das missoes,393.89
paraiba do sul,2949.57
pombal,1577.5000000000002
bertioga,9385.65
santa maria,31689.550000000003
taruma,997.72
sao miguel do iguacu,1079.3
campina grande,17410.539999999997
heliopolis,149.0
mariluz,308.99
saude,119.4
nova prata do iguacu,1049.78
capao da canoa,4692.089999999999
monte formoso,72.99
vitoria da conquista,16234.2
aracruz,4064.0700000000006
eneas marques,151.68
itapetinga,2727.12
castro,2847.19
tres coroas,774.37
nova xavantina,3274.69
queluz,213.74
colombo,7386.900000000001
ortigueira,993.29
lagoa formosa,647.57
crucilandia,17.0
pimenta bueno,1243.79
maua,43360.96000000001
castanhal,3628.6199999999994
serrinha,1889.14
colinas do tocantins,510.5
pereira barreto,4044.82
osasco,80820.33999999997
petrolina,13759.1
santana do paraiso,2696.82
para de minas,7162.08
vere,598.39
alto alegre do iguacu,74.69999999999999
santana do acarau,1376.89
conceicao dos ouros,632.78
nilopolis,13127.18
guabiju,33.6
buri,938.3199999999999
bezerros,1277.39
lindoia,606.03
sao joao da boa vista,11627.81
morrinhos,2397.59
pitangui,2517.2300000000005
cruz das almas,2007.2400000000005
sananduva,453.77000000000004
elias fausto,396.4
campanha,598.79
alpercata,228.8
palmitinho,271.69
varzea alegre,140.29
tambau,1513.4300000000003
quatro barras,1763.6600000000003
floresta,1184.3700000000001
santo antonio da patrulha,5100.08
areal,1152.18
canoinhas,4583.01
queimadas,2257.3500000000004
carmo,1415.19
nova venecia,2439.8999999999996
pompeia,1907.08
formosa,5282.15
sao lourenco do oeste,781.38
serra,35184.07
queimados,5841.849999999999
recife,85186.32999999997
canoas,26470.139999999996
araguari,10869.520000000002
santa tereza do oeste,364.9
sao pedro,3683.54
rianapolis,451.68
capao bonito,3078.9700000000003
