order_month,sum(price)
1,1036357.4700000025
2,1059105.9800000023
3,1312555.1000000006
4,1314203.7700000005
5,1466703.939999999
6,1277515.3400000003
7,1349090.9900000007
8,1393276.3399999994
9,607355.6400000018
10,689188.9500000017
11,987648.0700000022
12,726044.090000002
